# Residuals   
# Time        	p             	Ux            	Uy            
1.1           	4.074792e-01	4.271064e-03	1.641637e-02
1.11          	3.813906e-01	4.270026e-03	1.616509e-02
1.12          	3.590812e-01	4.220412e-03	1.580549e-02
1.13          	3.515660e-01	4.190880e-03	1.552742e-02
1.14          	3.332858e-01	4.142256e-03	1.512686e-02
1.15          	3.202514e-01	4.064446e-03	1.473656e-02
1.16          	3.144860e-01	3.992187e-03	1.448418e-02
1.17          	3.062369e-01	3.902940e-03	1.404021e-02
1.18          	3.281329e-01	3.853306e-03	1.367194e-02
1.19          	3.419500e-01	3.806106e-03	1.356535e-02
1.2           	3.572578e-01	3.797263e-03	1.375411e-02
1.21          	3.402187e-01	3.817134e-03	1.425547e-02
1.22          	3.313481e-01	3.880223e-03	1.507432e-02
1.23          	3.496082e-01	3.955004e-03	1.612048e-02
1.24          	3.688374e-01	4.033849e-03	1.714346e-02
1.25          	3.663381e-01	4.053846e-03	1.796242e-02
1.26          	3.782861e-01	4.030565e-03	1.886970e-02
1.27          	3.734636e-01	4.038391e-03	1.967020e-02
1.28          	3.691865e-01	3.997979e-03	2.024842e-02
1.29          	3.883722e-01	3.918073e-03	2.064225e-02
1.3           	3.839667e-01	3.831383e-03	2.084772e-02
1.31          	3.688475e-01	3.788271e-03	2.136676e-02
1.32          	3.759430e-01	3.771344e-03	2.181484e-02
1.33          	3.749261e-01	3.771225e-03	2.251093e-02
1.34          	3.820255e-01	3.871108e-03	2.369027e-02
1.35          	4.104719e-01	3.987809e-03	2.475823e-02
1.36          	3.981470e-01	4.177551e-03	2.674850e-02
1.37          	3.964418e-01	4.390627e-03	2.954456e-02
1.38          	3.991295e-01	4.562547e-03	3.245851e-02
1.39          	4.107327e-01	4.696559e-03	3.460555e-02
1.4           	4.033252e-01	4.793294e-03	3.569668e-02
1.41          	3.937933e-01	4.970977e-03	3.650382e-02
1.42          	3.877611e-01	5.081049e-03	3.665963e-02
1.43          	3.940212e-01	5.225851e-03	3.652989e-02
1.44          	3.877880e-01	5.216405e-03	3.562895e-02
1.45          	4.004843e-01	5.213404e-03	3.444652e-02
1.46          	3.813447e-01	5.170818e-03	3.320528e-02
1.47          	3.693473e-01	5.102791e-03	3.169693e-02
