# Residuals   
# Time        	p             	Ux            	Uy            
1.1           	3.502732e-01	4.657172e-03	1.398243e-02
1.11          	3.667046e-01	4.587017e-03	1.400392e-02
1.12          	3.762724e-01	4.580437e-03	1.425409e-02
1.13          	3.711531e-01	4.580572e-03	1.474430e-02
1.14          	3.837993e-01	4.627585e-03	1.514396e-02
1.15          	3.896354e-01	4.681342e-03	1.582869e-02
1.16          	3.909933e-01	4.714460e-03	1.603340e-02
1.17          	3.839107e-01	4.748475e-03	1.611920e-02
1.18          	3.848501e-01	4.768439e-03	1.602623e-02
1.19          	3.677540e-01	4.767749e-03	1.603176e-02
