# Residuals   
# Time        	p             	Ux            	Uy            
1.10          	3.675218e-01	3.455531e-03	1.403691e-02
1.11          	3.708858e-01	3.448194e-03	1.400497e-02
1.12          	3.768054e-01	3.496710e-03	1.421771e-02
1.13          	3.735543e-01	3.554118e-03	1.457333e-02
1.14          	3.652058e-01	3.612646e-03	1.510251e-02
1.15          	3.490569e-01	3.616158e-03	1.514134e-02
1.16          	3.508475e-01	3.641601e-03	1.513935e-02
1.17          	3.464623e-01	3.655084e-03	1.472156e-02
1.18          	3.368959e-01	3.648140e-03	1.449820e-02
1.19          	3.486519e-01	3.688506e-03	1.450828e-02
1.20          	3.531790e-01	3.702770e-03	1.463940e-02
1.21          	3.593472e-01	3.733292e-03	1.499653e-02
1.22          	3.647804e-01	3.725244e-03	1.534674e-02
1.23          	3.702065e-01	3.710354e-03	1.572622e-02
1.24          	3.638043e-01	3.692098e-03	1.644629e-02
1.25          	3.607413e-01	3.658702e-03	1.727630e-02
1.26          	3.636679e-01	3.630498e-03	1.816435e-02
1.27          	3.896974e-01	3.612787e-03	1.905624e-02
1.28          	3.842805e-01	3.617145e-03	1.987110e-02
1.29          	3.790909e-01	3.599329e-03	2.067265e-02
1.30          	4.000077e-01	3.604039e-03	2.166583e-02
1.31          	3.901928e-01	3.619449e-03	2.272626e-02
1.32          	4.055544e-01	3.640960e-03	2.393945e-02
1.33          	4.088654e-01	3.675508e-03	2.573522e-02
1.34          	4.024149e-01	3.704582e-03	2.767698e-02
1.35          	3.869524e-01	3.708742e-03	2.987639e-02
1.36          	3.788600e-01	3.738941e-03	3.206356e-02
1.37          	3.644228e-01	3.726845e-03	3.380088e-02
1.38          	3.656839e-01	3.686248e-03	3.496900e-02
1.39          	3.585714e-01	3.640466e-03	3.572925e-02
1.40          	3.498784e-01	3.596841e-03	3.571194e-02
1.41          	3.684662e-01	3.578597e-03	3.534678e-02
1.42          	3.875190e-01	3.570934e-03	3.482631e-02
1.43          	3.889414e-01	3.595763e-03	3.377534e-02
1.44          	3.899764e-01	3.653487e-03	3.171762e-02
1.45          	3.891900e-01	3.728941e-03	2.950331e-02
1.46          	3.733569e-01	3.884910e-03	2.761562e-02
1.47          	3.737878e-01	4.044874e-03	2.658547e-02
1.48          	3.781009e-01	4.173039e-03	2.569497e-02
1.49          	3.797021e-01	4.298458e-03	2.539108e-02
1.50          	3.844779e-01	4.395457e-03	2.544808e-02
1.51          	3.931600e-01	4.544713e-03	2.556113e-02
1.52          	3.967482e-01	4.633025e-03	2.595505e-02
1.53          	3.901067e-01	4.706610e-03	2.626550e-02
1.54          	3.903832e-01	4.757587e-03	2.661327e-02
1.55          	3.917631e-01	4.795129e-03	2.709223e-02
1.56          	3.777139e-01	4.847355e-03	2.766275e-02
1.57          	3.849468e-01	4.890914e-03	2.806639e-02
1.58          	3.771328e-01	4.948237e-03	2.841115e-02
1.59          	3.812007e-01	5.037400e-03	2.864855e-02
1.60          	3.769439e-01	5.139173e-03	2.867708e-02
1.61          	3.666300e-01	5.256210e-03	2.883685e-02
1.62          	3.607259e-01	5.366123e-03	2.930440e-02
1.63          	3.582450e-01	5.484373e-03	2.989020e-02
1.64          	3.614755e-01	5.580163e-03	3.059232e-02
1.65          	3.577415e-01	5.677238e-03	3.167115e-02
1.66          	3.731554e-01	5.723873e-03	3.250522e-02
1.67          	3.831417e-01	5.751217e-03	3.327539e-02
1.68          	3.700351e-01	5.824128e-03	3.361182e-02
1.69          	3.737571e-01	5.840967e-03	3.356262e-02
1.70          	3.738779e-01	5.812013e-03	3.327608e-02
1.71          	3.578309e-01	5.804555e-03	3.317530e-02
1.72          	3.562556e-01	5.747006e-03	3.283672e-02
1.73          	3.729406e-01	5.672019e-03	3.247280e-02
1.74          	3.499415e-01	5.605366e-03	3.221626e-02
1.75          	3.473106e-01	5.533764e-03	3.169326e-02
1.76          	3.442802e-01	5.515234e-03	3.146233e-02
1.77          	3.317907e-01	5.424268e-03	3.099012e-02
1.78          	3.203936e-01	5.369168e-03	3.027278e-02
1.79          	3.469086e-01	5.376524e-03	3.008879e-02
1.80          	3.564548e-01	5.413100e-03	3.018230e-02
1.81          	3.869501e-01	5.453334e-03	3.063784e-02
