"p","nut","k","omega","U:0","U:1","U:2","h","Points:0","Points:1","Points:2"
1.82933e-04,0.00000e+00,2.96639e-06,1.03443e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.86477e-03,2.56149e-02,5.28219e-03,2.90000e-01
1.72880e-05,0.00000e+00,2.91815e-06,1.03806e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.76228e-04,2.71239e-02,5.58329e-03,0.00000e+00
1.72880e-05,0.00000e+00,2.91815e-06,1.03806e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.76228e-04,2.71239e-02,5.58329e-03,2.90000e-01
-1.54363e-04,0.00000e+00,2.85204e-06,1.04107e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.57353e-03,2.86353e-02,5.87197e-03,0.00000e+00
-1.54363e-04,0.00000e+00,2.85204e-06,1.04107e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.57353e-03,2.86353e-02,5.87197e-03,2.90000e-01
-3.31012e-04,0.00000e+00,2.77888e-06,1.04351e+03,0.00000e+00,0.00000e+00,0.00000e+00,-3.37423e-03,3.01494e-02,6.14636e-03,0.00000e+00
-3.31012e-04,0.00000e+00,2.77888e-06,1.04351e+03,0.00000e+00,0.00000e+00,0.00000e+00,-3.37423e-03,3.01494e-02,6.14636e-03,2.90000e-01
-5.08279e-04,0.00000e+00,2.70010e-06,1.04535e+03,0.00000e+00,0.00000e+00,0.00000e+00,-5.18124e-03,3.16663e-02,6.40452e-03,0.00000e+00
-5.08279e-04,0.00000e+00,2.70010e-06,1.04535e+03,0.00000e+00,0.00000e+00,0.00000e+00,-5.18124e-03,3.16663e-02,6.40452e-03,2.90000e-01
-6.81871e-04,0.00000e+00,2.60974e-06,1.04667e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.95078e-03,3.31863e-02,6.64451e-03,0.00000e+00
-6.81871e-04,0.00000e+00,2.60974e-06,1.04667e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.95078e-03,3.31863e-02,6.64451e-03,2.90000e-01
-8.48868e-04,0.00000e+00,2.50760e-06,1.04752e+03,0.00000e+00,0.00000e+00,0.00000e+00,-8.65308e-03,3.47092e-02,6.86429e-03,0.00000e+00
-8.48868e-04,0.00000e+00,2.50760e-06,1.04752e+03,0.00000e+00,0.00000e+00,0.00000e+00,-8.65308e-03,3.47092e-02,6.86429e-03,2.90000e-01
-1.00369e-03,0.00000e+00,2.41257e-06,1.04797e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.02313e-02,3.62352e-02,7.06185e-03,0.00000e+00
-1.00369e-03,0.00000e+00,2.41257e-06,1.04797e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.02313e-02,3.62352e-02,7.06185e-03,2.90000e-01
-1.14323e-03,0.00000e+00,2.30843e-06,1.04810e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.16537e-02,3.77641e-02,7.23511e-03,0.00000e+00
-1.14323e-03,0.00000e+00,2.30843e-06,1.04810e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.16537e-02,3.77641e-02,7.23511e-03,2.90000e-01
-1.26601e-03,0.00000e+00,2.16645e-06,1.04799e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.29053e-02,3.92958e-02,7.38198e-03,0.00000e+00
-1.26601e-03,0.00000e+00,2.16645e-06,1.04799e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.29053e-02,3.92958e-02,7.38198e-03,2.90000e-01
-1.36782e-03,0.00000e+00,1.98251e-06,1.04774e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.39432e-02,4.08300e-02,7.50035e-03,0.00000e+00
-1.36782e-03,0.00000e+00,1.98251e-06,1.04774e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.39432e-02,4.08300e-02,7.50035e-03,2.90000e-01
-1.44499e-03,0.00000e+00,1.75915e-06,1.04746e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.47297e-02,4.23662e-02,7.58810e-03,0.00000e+00
-1.44499e-03,0.00000e+00,1.75915e-06,1.04746e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.47297e-02,4.23662e-02,7.58810e-03,2.90000e-01
-1.49474e-03,0.00000e+00,1.50619e-06,1.04728e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.52369e-02,4.39040e-02,7.64314e-03,0.00000e+00
-1.49474e-03,0.00000e+00,1.50619e-06,1.04728e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.52369e-02,4.39040e-02,7.64314e-03,2.90000e-01
-1.51605e-03,0.00000e+00,1.23643e-06,1.04732e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.54542e-02,4.54426e-02,7.66339e-03,0.00000e+00
-1.51605e-03,0.00000e+00,1.23643e-06,1.04732e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.54542e-02,4.54426e-02,7.66339e-03,2.90000e-01
-1.50989e-03,0.00000e+00,9.67544e-07,1.04779e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.53913e-02,4.69812e-02,7.64687e-03,0.00000e+00
-1.50989e-03,0.00000e+00,9.67544e-07,1.04779e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.53913e-02,4.69812e-02,7.64687e-03,2.90000e-01
-1.47880e-03,0.00000e+00,7.18701e-07,1.04881e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.50744e-02,4.85189e-02,7.59163e-03,0.00000e+00
-1.47880e-03,0.00000e+00,7.18701e-07,1.04881e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.50744e-02,4.85189e-02,7.59163e-03,2.90000e-01
-1.42289e-03,0.00000e+00,5.07568e-07,1.05114e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.45045e-02,5.00546e-02,7.49586e-03,0.00000e+00
-1.42289e-03,0.00000e+00,5.07568e-07,1.05114e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.45045e-02,5.00546e-02,7.49586e-03,2.90000e-01
-1.33096e-03,0.00000e+00,3.34906e-07,1.05571e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.35674e-02,5.15861e-02,7.34780e-03,0.00000e+00
-1.33096e-03,0.00000e+00,3.34906e-07,1.05571e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.35674e-02,5.15861e-02,7.34780e-03,2.90000e-01
-1.20305e-03,0.00000e+00,2.03196e-07,1.06188e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.22635e-02,5.31109e-02,7.14145e-03,0.00000e+00
-1.20305e-03,0.00000e+00,2.03196e-07,1.06188e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.22635e-02,5.31109e-02,7.14145e-03,2.90000e-01
-1.07757e-03,0.00000e+00,1.14493e-07,1.06849e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.09844e-02,5.46275e-02,6.88169e-03,0.00000e+00
-1.07757e-03,0.00000e+00,1.14493e-07,1.06849e+03,0.00000e+00,0.00000e+00,0.00000e+00,-1.09844e-02,5.46275e-02,6.88169e-03,2.90000e-01
-9.80382e-04,0.00000e+00,6.24255e-08,1.07506e+03,0.00000e+00,0.00000e+00,0.00000e+00,-9.99370e-03,5.61350e-02,6.57333e-03,0.00000e+00
-9.80382e-04,0.00000e+00,6.24255e-08,1.07506e+03,0.00000e+00,0.00000e+00,0.00000e+00,-9.99370e-03,5.61350e-02,6.57333e-03,2.90000e-01
-9.03219e-04,0.00000e+00,3.50871e-08,1.08116e+03,0.00000e+00,0.00000e+00,0.00000e+00,-9.20712e-03,5.76328e-02,6.22108e-03,0.00000e+00
-9.03219e-04,0.00000e+00,3.50871e-08,1.08116e+03,0.00000e+00,0.00000e+00,0.00000e+00,-9.20712e-03,5.76328e-02,6.22108e-03,2.90000e-01
-8.43197e-04,0.00000e+00,2.04358e-08,1.08639e+03,0.00000e+00,0.00000e+00,0.00000e+00,-8.59528e-03,5.91208e-02,5.82946e-03,0.00000e+00
-8.43197e-04,0.00000e+00,2.04358e-08,1.08639e+03,0.00000e+00,0.00000e+00,0.00000e+00,-8.59528e-03,5.91208e-02,5.82946e-03,2.90000e-01
-7.98828e-04,0.00000e+00,1.29529e-08,1.09043e+03,0.00000e+00,0.00000e+00,0.00000e+00,-8.14299e-03,6.05992e-02,5.40276e-03,0.00000e+00
-7.98828e-04,0.00000e+00,1.29529e-08,1.09043e+03,0.00000e+00,0.00000e+00,0.00000e+00,-8.14299e-03,6.05992e-02,5.40276e-03,2.90000e-01
-7.64642e-04,0.00000e+00,9.46547e-09,1.09307e+03,0.00000e+00,0.00000e+00,0.00000e+00,-7.79452e-03,6.20683e-02,4.94506e-03,0.00000e+00
-7.64642e-04,0.00000e+00,9.46547e-09,1.09307e+03,0.00000e+00,0.00000e+00,0.00000e+00,-7.79452e-03,6.20683e-02,4.94506e-03,2.90000e-01
-7.37651e-04,0.00000e+00,7.84765e-09,1.09416e+03,0.00000e+00,0.00000e+00,0.00000e+00,-7.51938e-03,6.35287e-02,4.46021e-03,0.00000e+00
-7.37651e-04,0.00000e+00,7.84765e-09,1.09416e+03,0.00000e+00,0.00000e+00,0.00000e+00,-7.51938e-03,6.35287e-02,4.46021e-03,2.90000e-01
-7.15384e-04,0.00000e+00,7.02437e-09,1.09350e+03,0.00000e+00,0.00000e+00,0.00000e+00,-7.29240e-03,6.49810e-02,3.95182e-03,0.00000e+00
-7.15384e-04,0.00000e+00,7.02437e-09,1.09350e+03,0.00000e+00,0.00000e+00,0.00000e+00,-7.29240e-03,6.49810e-02,3.95182e-03,2.90000e-01
-6.96463e-04,0.00000e+00,6.07948e-09,1.09101e+03,0.00000e+00,0.00000e+00,0.00000e+00,-7.09952e-03,6.64261e-02,3.42328e-03,0.00000e+00
-6.96463e-04,0.00000e+00,6.07948e-09,1.09101e+03,0.00000e+00,0.00000e+00,0.00000e+00,-7.09952e-03,6.64261e-02,3.42328e-03,2.90000e-01
-6.79698e-04,0.00000e+00,5.25569e-09,1.08674e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.92863e-03,6.78649e-02,2.87783e-03,0.00000e+00
-6.79698e-04,0.00000e+00,5.25569e-09,1.08674e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.92863e-03,6.78649e-02,2.87783e-03,2.90000e-01
-6.64062e-04,0.00000e+00,4.77417e-09,1.08074e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.76924e-03,6.92984e-02,2.31853e-03,0.00000e+00
-6.64062e-04,0.00000e+00,4.77417e-09,1.08074e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.76924e-03,6.92984e-02,2.31853e-03,2.90000e-01
