"p","nut","k","omega","U:0","U:1","U:2","h","Points:0","Points:1","Points:2",
-0.00100369,0,2.41257E-06,1047.97,0,0,0,-0.0102313,0.0362352,0.00706185,0.29,"(3.62352 0.706185 29)"
-0.00114323,0,2.30843E-06,1048.1,0,0,0,-0.0116537,0.0377641,0.00723511,0,"(3.77641 0.723511 0)"
-0.00114323,0,2.30843E-06,1048.1,0,0,0,-0.0116537,0.0377641,0.00723511,0.29,"(3.77641 0.723511 29)"
-0.00126601,0,2.16645E-06,1047.99,0,0,0,-0.0129053,0.0392958,0.00738198,0,"(3.92958 0.738198 0)"
-0.00126601,0,2.16645E-06,1047.99,0,0,0,-0.0129053,0.0392958,0.00738198,0.29,"(3.92958 0.738198 29)"
-0.00136782,0,1.98251E-06,1047.74,0,0,0,-0.0139432,0.04083,0.00750035,0,"(4.083 0.750035 0)"
-0.00136782,0,1.98251E-06,1047.74,0,0,0,-0.0139432,0.04083,0.00750035,0.29,"(4.083 0.750035 29)"
-0.00144499,0,1.75915E-06,1047.46,0,0,0,-0.0147297,0.0423662,0.0075881,0,"(4.23662 0.75881 0)"
-0.00144499,0,1.75915E-06,1047.46,0,0,0,-0.0147297,0.0423662,0.0075881,0.29,"(4.23662 0.75881 29)"
-0.00149474,0,1.50619E-06,1047.28,0,0,0,-0.0152369,0.043904,0.00764314,0,"(4.3904 0.764314 0)"
-0.00149474,0,1.50619E-06,1047.28,0,0,0,-0.0152369,0.043904,0.00764314,0.29,"(4.3904 0.764314 29)"
-0.00151605,0,1.23643E-06,1047.32,0,0,0,-0.0154542,0.0454426,0.00766339,0,"(4.54426 0.766339 0)"
-0.00151605,0,1.23643E-06,1047.32,0,0,0,-0.0154542,0.0454426,0.00766339,0.29,"(4.54426 0.766339 29)"
-0.00150989,0,9.67544E-07,1047.79,0,0,0,-0.0153913,0.0469812,0.00764687,0,"(4.69812 0.764687 0)"
-0.00150989,0,9.67544E-07,1047.79,0,0,0,-0.0153913,0.0469812,0.00764687,0.29,"(4.69812 0.764687 29)"
-0.0014788,0,7.18701E-07,1048.81,0,0,0,-0.0150744,0.0485189,0.00759163,0,"(4.85189 0.759163 0)"
-0.0014788,0,7.18701E-07,1048.81,0,0,0,-0.0150744,0.0485189,0.00759163,0.29,"(4.85189 0.759163 29)"
-0.00142289,0,5.07568E-07,1051.14,0,0,0,-0.0145045,0.0500546,0.00749586,0,"(5.00546 0.749586 0)"
-0.00142289,0,5.07568E-07,1051.14,0,0,0,-0.0145045,0.0500546,0.00749586,0.29,"(5.00546 0.749586 29)"
-0.00133096,0,3.34906E-07,1055.71,0,0,0,-0.0135674,0.0515861,0.0073478,0,"(5.15861 0.73478 0)"
-0.00133096,0,3.34906E-07,1055.71,0,0,0,-0.0135674,0.0515861,0.0073478,0.29,"(5.15861 0.73478 29)"
-0.00120305,0,2.03196E-07,1061.88,0,0,0,-0.0122635,0.0531109,0.00714145,0,"(5.31109 0.714145 0)"
-0.00120305,0,2.03196E-07,1061.88,0,0,0,-0.0122635,0.0531109,0.00714145,0.29,"(5.31109 0.714145 29)"
-0.00107757,0,1.14493E-07,1068.49,0,0,0,-0.0109844,0.0546275,0.00688169,0,"(5.46275 0.688169 0)"
-0.00107757,0,1.14493E-07,1068.49,0,0,0,-0.0109844,0.0546275,0.00688169,0.29,"(5.46275 0.688169 29)"
-0.000980382,0,6.24255E-08,1075.06,0,0,0,-0.0099937,0.056135,0.00657333,0,"(5.6135 0.657333 0)"
-0.000980382,0,6.24255E-08,1075.06,0,0,0,-0.0099937,0.056135,0.00657333,0.29,"(5.6135 0.657333 29)"
-0.000903219,0,3.50871E-08,1081.16,0,0,0,-0.00920712,0.0576328,0.00622108,0,"(5.76328 0.622108 0)"
-0.000903219,0,3.50871E-08,1081.16,0,0,0,-0.00920712,0.0576328,0.00622108,0.29,"(5.76328 0.622108 29)"
-0.000843197,0,2.04358E-08,1086.39,0,0,0,-0.00859528,0.0591208,0.00582946,0,"(5.91208 0.582946 0)"
-0.000843197,0,2.04358E-08,1086.39,0,0,0,-0.00859528,0.0591208,0.00582946,0.29,"(5.91208 0.582946 29)"
-0.000798828,0,1.29529E-08,1090.43,0,0,0,-0.00814299,0.0605992,0.00540276,0,"(6.05992 0.540276 0)"
-0.000798828,0,1.29529E-08,1090.43,0,0,0,-0.00814299,0.0605992,0.00540276,0.29,"(6.05992 0.540276 29)"
-0.000764642,0,9.46547E-09,1093.07,0,0,0,-0.00779452,0.0620683,0.00494506,0,"(6.20683 0.494506 0)"
-0.000764642,0,9.46547E-09,1093.07,0,0,0,-0.00779452,0.0620683,0.00494506,0.29,"(6.20683 0.494506 29)"
-0.000737651,0,7.84765E-09,1094.16,0,0,0,-0.00751938,0.0635287,0.00446021,0,"(6.35287 0.446021 0)"
-0.000737651,0,7.84765E-09,1094.16,0,0,0,-0.00751938,0.0635287,0.00446021,0.29,"(6.35287 0.446021 29)"
-0.000715384,0,7.02437E-09,1093.5,0,0,0,-0.0072924,0.064981,0.00395182,0,"(6.4981 0.395182 0)"
-0.000715384,0,7.02437E-09,1093.5,0,0,0,-0.0072924,0.064981,0.00395182,0.29,"(6.4981 0.395182 29)"
-0.000696463,0,6.07948E-09,1091.01,0,0,0,-0.00709952,0.0664261,0.00342328,0,"(6.64261 0.342328 0)"
-0.000696463,0,6.07948E-09,1091.01,0,0,0,-0.00709952,0.0664261,0.00342328,0.29,"(6.64261 0.342328 29)"
-0.000679698,0,5.25569E-09,1086.74,0,0,0,-0.00692863,0.0678649,0.00287783,0,"(6.78649 0.287783 0)"
-0.000679698,0,5.25569E-09,1086.74,0,0,0,-0.00692863,0.0678649,0.00287783,0.29,"(6.78649 0.287783 29)"
-0.000664062,0,4.77417E-09,1080.74,0,0,0,-0.00676924,0.0692984,0.00231853,0,"(6.92984 0.231853 0)"
-0.000664062,0,4.77417E-09,1080.74,0,0,0,-0.00676924,0.0692984,0.00231853,0.29,"(6.92984 0.231853 29)"
-0.000648823,0,4.4876E-09,1073.04,0,0,0,-0.00661389,0.0707276,0.00174831,0,"(7.07276 0.174831 0)"
-0.000648823,0,4.4876E-09,1073.04,0,0,0,-0.00661389,0.0707276,0.00174831,0.29,"(7.07276 0.174831 29)"
-0.000633683,0,4.17636E-09,1063.61,0,0,0,-0.00645956,0.0721536,0.00117,0,"(7.21536 0.117 0)"
-0.000633683,0,4.17636E-09,1063.61,0,0,0,-0.00645956,0.0721536,0.00117,0.29,"(7.21536 0.117 29)"
-0.000618716,0,3.75827E-09,1052.56,0,0,0,-0.00630699,0.0735773,0.000586331,0,"(7.35773 0.0586331 0)"
-0.000618716,0,3.75827E-09,1052.56,0,0,0,-0.00630699,0.0735773,0.000586331,0.29,"(7.35773 0.0586331 29)"
-0.000604024,0,3.38823E-09,1040.12,0,0,0,-0.00615722,0.075,9.54176E-14,0,"(7.5 0.00000000000954176 0)"
-0.000604024,0,3.38823E-09,1040.12,0,0,0,-0.00615722,0.075,9.54176E-14,0.29,"(7.5 0.00000000000954176 29)"
-0.000589767,0,3.18336E-09,1026.32,0,0,0,-0.0060119,0.0764227,-0.000586331,0,"(7.64227 -0.0586331 0)"
-0.000589767,0,3.18336E-09,1026.32,0,0,0,-0.0060119,0.0764227,-0.000586331,0.29,"(7.64227 -0.0586331 29)"
-0.000576044,0,3.12158E-09,1011.23,0,0,0,-0.00587201,0.0778464,-0.00117,0,"(7.78464 -0.117 0)"
-0.000576044,0,3.12158E-09,1011.23,0,0,0,-0.00587201,0.0778464,-0.00117,0.29,"(7.78464 -0.117 29)"
-0.000562886,0,3.18101E-09,995.165,0,0,0,-0.00573788,0.0792724,-0.00174831,0,"(7.92724 -0.174831 0)"
-0.000562886,0,3.18101E-09,995.165,0,0,0,-0.00573788,0.0792724,-0.00174831,0.29,"(7.92724 -0.174831 29)"
-0.000550277,0,3.39553E-09,978.205,0,0,0,-0.00560935,0.0807016,-0.00231853,0,"(8.07016 -0.231853 0)"
-0.000550277,0,3.39553E-09,978.205,0,0,0,-0.00560935,0.0807016,-0.00231853,0.29,"(8.07016 -0.231853 29)"
-0.000538169,0,3.80716E-09,960.459,0,0,0,-0.00548592,0.0821351,-0.00287783,0,"(8.21351 -0.287783 0)"
-0.000538169,0,3.80716E-09,960.459,0,0,0,-0.00548592,0.0821351,-0.00287783,0.29,"(8.21351 -0.287783 29)"
-0.000526446,0,4.43084E-09,942.124,0,0,0,-0.00536642,0.0835739,-0.00342328,0,"(8.35739 -0.342328 0)"
-0.000526446,0,4.43084E-09,942.124,0,0,0,-0.00536642,0.0835739,-0.00342328,0.29,"(8.35739 -0.342328 29)"
-0.000514961,0,5.34151E-09,923.419,0,0,0,-0.00524935,0.085019,-0.00395182,0,"(8.5019 -0.395182 0)"
-0.000514961,0,5.34151E-09,923.419,0,0,0,-0.00524935,0.085019,-0.00395182,0.29,"(8.5019 -0.395182 29)"
-0.000503567,0,6.64097E-09,904.599,0,0,0,-0.0051332,0.0864713,-0.00446021,0,"(8.64713 -0.446021 0)"
-0.000503567,0,6.64097E-09,904.599,0,0,0,-0.0051332,0.0864713,-0.00446021,0.29,"(8.64713 -0.446021 29)"
-0.000492102,0,8.4506E-09,885.846,0,0,0,-0.00501633,0.0879317,-0.00494506,0,"(8.79317 -0.494506 0)"
-0.000492102,0,8.4506E-09,885.846,0,0,0,-0.00501633,0.0879317,-0.00494506,0.29,"(8.79317 -0.494506 29)"
-0.000480392,0,1.09537E-08,867.363,0,0,0,-0.00489696,0.0894008,-0.00540276,0,"(8.94008 -0.540276 0)"
-0.000480392,0,1.09537E-08,867.363,0,0,0,-0.00489696,0.0894008,-0.00540276,0.29,"(8.94008 -0.540276 29)"
-0.000468254,0,1.43279E-08,849.424,0,0,0,-0.00477323,0.0908792,-0.00582946,0,"(9.08792 -0.582946 0)"
-0.000468254,0,1.43279E-08,849.424,0,0,0,-0.00477323,0.0908792,-0.00582946,0.29,"(9.08792 -0.582946 29)"
-0.000455526,0,1.86651E-08,832.307,0,0,0,-0.00464348,0.0923672,-0.00622108,0,"(9.23672 -0.622108 0)"
-0.000455526,0,1.86651E-08,832.307,0,0,0,-0.00464348,0.0923672,-0.00622108,0.29,"(9.23672 -0.622108 29)"
-0.000442115,0,2.40486E-08,816.317,0,0,0,-0.00450677,0.093865,-0.00657333,0,"(9.3865 -0.657333 0)"
-0.000442115,0,2.40486E-08,816.317,0,0,0,-0.00450677,0.093865,-0.00657333,0.29,"(9.3865 -0.657333 29)"
-0.000427993,0,3.05613E-08,801.806,0,0,0,-0.00436282,0.0953725,-0.00688169,0,"(9.53725 -0.688169 0)"
-0.000427993,0,3.05613E-08,801.806,0,0,0,-0.00436282,0.0953725,-0.00688169,0.29,"(9.53725 -0.688169 29)"
-0.000413253,0,3.85857E-08,789.161,0,0,0,-0.00421257,0.0968891,-0.00714145,0,"(9.68891 -0.714145 0)"
-0.000413253,0,3.85857E-08,789.161,0,0,0,-0.00421257,0.0968891,-0.00714145,0.29,"(9.68891 -0.714145 29)"
-0.000398165,0,4.86294E-08,778.789,0,0,0,-0.00405877,0.0984139,-0.0073478,0,"(9.84139 -0.73478 0)"
-0.000398165,0,4.86294E-08,778.789,0,0,0,-0.00405877,0.0984139,-0.0073478,0.29,"(9.84139 -0.73478 29)"
-0.000382469,0,6.31207E-08,771.428,0,0,0,-0.00389877,0.0999454,-0.00749586,0,"(9.99454 -0.749586 0)"
-0.000382469,0,6.31207E-08,771.428,0,0,0,-0.00389877,0.0999454,-0.00749586,0.29,"(9.99454 -0.749586 29)"
-0.000364948,0,8.23336E-08,767.159,0,0,0,-0.00372016,0.101481,-0.00759163,0,"(10.1481 -0.759163 0)"
-0.000364948,0,8.23336E-08,767.159,0,0,0,-0.00372016,0.101481,-0.00759163,0.29,"(10.1481 -0.759163 29)"
-0.000344761,0,1.06749E-07,765.069,0,0,0,-0.00351438,0.103019,-0.00764687,0,"(10.3019 -0.764687 0)"
-0.000344761,0,1.06749E-07,765.069,0,0,0,-0.00351438,0.103019,-0.00764687,0.29,"(10.3019 -0.764687 29)"
-0.000321659,0,1.36292E-07,764.568,0,0,0,-0.00327888,0.104557,-0.00766339,0,"(10.4557 -0.766339 0)"
-0.000321659,0,1.36292E-07,764.568,0,0,0,-0.00327888,0.104557,-0.00766339,0.29,"(10.4557 -0.766339 29)"
-0.00029521,0,1.72435E-07,765.524,0,0,0,-0.00300928,0.106096,-0.00764314,0,"(10.6096 -0.764314 0)"
-0.00029521,0,1.72435E-07,765.524,0,0,0,-0.00300928,0.106096,-0.00764314,0.29,"(10.6096 -0.764314 29)"
-0.000264958,0,2.16913E-07,767.589,0,0,0,-0.0027009,0.107634,-0.0075881,0,"(10.7634 -0.75881 0)"
-0.000264958,0,2.16913E-07,767.589,0,0,0,-0.0027009,0.107634,-0.0075881,0.29,"(10.7634 -0.75881 29)"
-0.00023044,0,2.69962E-07,770.654,0,0,0,-0.00234903,0.10917,-0.00750035,0,"(10.917 -0.750035 0)"
