Time,"p","Points:0","Points:1","Points:2"
6.000000e+00,1.495700e-04,0.000000e+00,0.000000e+00,0.000000e+00
6.000000e+00,1.487715e-04,1.520200e-03,2.381140e-04,0.000000e+00
6.000000e+00,1.487715e-04,1.520200e-03,2.381140e-04,2.900000e-01
6.000000e+00,1.495700e-04,0.000000e+00,0.000000e+00,2.900000e-01
6.000000e+00,1.463060e-04,3.037420e-03,4.946080e-04,0.000000e+00
6.000000e+00,1.463060e-04,3.037420e-03,4.946080e-04,2.900000e-01
6.000000e+00,1.415760e-04,4.551780e-03,7.675130e-04,0.000000e+00
6.000000e+00,1.415760e-04,4.551780e-03,7.675130e-04,2.900000e-01
6.000000e+00,1.341210e-04,6.063450e-03,1.054900e-03,0.000000e+00
6.000000e+00,1.341210e-04,6.063450e-03,1.054900e-03,2.900000e-01
6.000000e+00,1.240965e-04,7.572670e-03,1.354870e-03,0.000000e+00
6.000000e+00,1.240965e-04,7.572670e-03,1.354870e-03,2.900000e-01
6.000000e+00,1.116320e-04,9.079730e-03,1.665580e-03,0.000000e+00
6.000000e+00,1.116320e-04,9.079730e-03,1.665580e-03,2.900000e-01
6.000000e+00,9.682360e-05,1.058490e-02,1.985190e-03,0.000000e+00
6.000000e+00,9.682360e-05,1.058490e-02,1.985190e-03,2.900000e-01
6.000000e+00,7.979550e-05,1.208860e-02,2.311900e-03,0.000000e+00
6.000000e+00,7.979550e-05,1.208860e-02,2.311900e-03,2.900000e-01
6.000000e+00,6.067895e-05,1.359110e-02,2.643950e-03,0.000000e+00
6.000000e+00,6.067895e-05,1.359110e-02,2.643950e-03,2.900000e-01
6.000000e+00,3.960265e-05,1.509280e-02,2.979560e-03,0.000000e+00
6.000000e+00,3.960265e-05,1.509280e-02,2.979560e-03,2.900000e-01
6.000000e+00,1.669267e-05,1.659410e-02,3.317000e-03,0.000000e+00
6.000000e+00,1.669267e-05,1.659410e-02,3.317000e-03,2.900000e-01
6.000000e+00,-7.926535e-06,1.809540e-02,3.654530e-03,0.000000e+00
6.000000e+00,-7.926535e-06,1.809540e-02,3.654530e-03,2.900000e-01
6.000000e+00,-3.407865e-05,1.959700e-02,3.990400e-03,0.000000e+00
6.000000e+00,-3.407865e-05,1.959700e-02,3.990400e-03,2.900000e-01
6.000000e+00,-6.154760e-05,2.109940e-02,4.322870e-03,0.000000e+00
6.000000e+00,-6.154760e-05,2.109940e-02,4.322870e-03,2.900000e-01
6.000000e+00,-9.028455e-05,2.260300e-02,4.650170e-03,0.000000e+00
6.000000e+00,-9.028455e-05,2.260300e-02,4.650170e-03,2.900000e-01
6.000000e+00,-1.203570e-04,2.410800e-02,4.970550e-03,0.000000e+00
6.000000e+00,-1.203570e-04,2.410800e-02,4.970550e-03,2.900000e-01
6.000000e+00,-1.515485e-04,2.561490e-02,5.282190e-03,0.000000e+00
6.000000e+00,-1.515485e-04,2.561490e-02,5.282190e-03,2.900000e-01
6.000000e+00,-1.833860e-04,2.712390e-02,5.583290e-03,0.000000e+00
6.000000e+00,-1.833860e-04,2.712390e-02,5.583290e-03,2.900000e-01
6.000000e+00,-2.154025e-04,2.863530e-02,5.871970e-03,0.000000e+00
6.000000e+00,-2.154025e-04,2.863530e-02,5.871970e-03,2.900000e-01
6.000000e+00,-2.473485e-04,3.014940e-02,6.146360e-03,0.000000e+00
6.000000e+00,-2.473485e-04,3.014940e-02,6.146360e-03,2.900000e-01
6.000000e+00,-2.790205e-04,3.166630e-02,6.404520e-03,0.000000e+00
6.000000e+00,-2.790205e-04,3.166630e-02,6.404520e-03,2.900000e-01
6.000000e+00,-3.104415e-04,3.318630e-02,6.644510e-03,0.000000e+00
6.000000e+00,-3.104415e-04,3.318630e-02,6.644510e-03,2.900000e-01
6.000000e+00,-3.415680e-04,3.470920e-02,6.864290e-03,0.000000e+00
6.000000e+00,-3.415680e-04,3.470920e-02,6.864290e-03,2.900000e-01
6.000000e+00,-3.714865e-04,3.623520e-02,7.061850e-03,0.000000e+00
6.000000e+00,-3.714865e-04,3.623520e-02,7.061850e-03,2.900000e-01
6.000000e+00,-3.994410e-04,3.776410e-02,7.235110e-03,0.000000e+00
6.000000e+00,-3.994410e-04,3.776410e-02,7.235110e-03,2.900000e-01
6.000000e+00,-4.251075e-04,3.929580e-02,7.381980e-03,0.000000e+00
6.000000e+00,-4.251075e-04,3.929580e-02,7.381980e-03,2.900000e-01
6.000000e+00,-4.479875e-04,4.083000e-02,7.500350e-03,0.000000e+00
6.000000e+00,-4.479875e-04,4.083000e-02,7.500350e-03,2.900000e-01
6.000000e+00,-4.675075e-04,4.236620e-02,7.588100e-03,0.000000e+00
6.000000e+00,-4.675075e-04,4.236620e-02,7.588100e-03,2.900000e-01
6.000000e+00,-4.830215e-04,4.390400e-02,7.643140e-03,0.000000e+00
6.000000e+00,-4.830215e-04,4.390400e-02,7.643140e-03,2.900000e-01
6.000000e+00,-4.939640e-04,4.544260e-02,7.663390e-03,0.000000e+00
6.000000e+00,-4.939640e-04,4.544260e-02,7.663390e-03,2.900000e-01
6.000000e+00,-4.999730e-04,4.698120e-02,7.646870e-03,0.000000e+00
6.000000e+00,-4.999730e-04,4.698120e-02,7.646870e-03,2.900000e-01
6.000000e+00,-5.006805e-04,4.851890e-02,7.591630e-03,0.000000e+00
6.000000e+00,-5.006805e-04,4.851890e-02,7.591630e-03,2.900000e-01
6.000000e+00,-4.959450e-04,5.005460e-02,7.495860e-03,0.000000e+00
6.000000e+00,-4.959450e-04,5.005460e-02,7.495860e-03,2.900000e-01
6.000000e+00,-4.850745e-04,5.158610e-02,7.347800e-03,0.000000e+00
6.000000e+00,-4.850745e-04,5.158610e-02,7.347800e-03,2.900000e-01
6.000000e+00,-4.668845e-04,5.311090e-02,7.141450e-03,0.000000e+00
6.000000e+00,-4.668845e-04,5.311090e-02,7.141450e-03,2.900000e-01
6.000000e+00,-4.420325e-04,5.462750e-02,6.881690e-03,0.000000e+00
6.000000e+00,-4.420325e-04,5.462750e-02,6.881690e-03,2.900000e-01
6.000000e+00,-4.128865e-04,5.613500e-02,6.573330e-03,0.000000e+00
6.000000e+00,-4.128865e-04,5.613500e-02,6.573330e-03,2.900000e-01
6.000000e+00,-3.818290e-04,5.763280e-02,6.221080e-03,0.000000e+00
6.000000e+00,-3.818290e-04,5.763280e-02,6.221080e-03,2.900000e-01
6.000000e+00,-3.507445e-04,5.912080e-02,5.829460e-03,0.000000e+00
6.000000e+00,-3.507445e-04,5.912080e-02,5.829460e-03,2.900000e-01
6.000000e+00,-3.209170e-04,6.059920e-02,5.402760e-03,0.000000e+00
6.000000e+00,-3.209170e-04,6.059920e-02,5.402760e-03,2.900000e-01
6.000000e+00,-2.929170e-04,6.206830e-02,4.945060e-03,0.000000e+00
6.000000e+00,-2.929170e-04,6.206830e-02,4.945060e-03,2.900000e-01
6.000000e+00,-2.669125e-04,6.352870e-02,4.460210e-03,0.000000e+00
6.000000e+00,-2.669125e-04,6.352870e-02,4.460210e-03,2.900000e-01
6.000000e+00,-2.430260e-04,6.498100e-02,3.951820e-03,0.000000e+00
6.000000e+00,-2.430260e-04,6.498100e-02,3.951820e-03,2.900000e-01
6.000000e+00,-2.211895e-04,6.642610e-02,3.423280e-03,0.000000e+00
6.000000e+00,-2.211895e-04,6.642610e-02,3.423280e-03,2.900000e-01
6.000000e+00,-2.011285e-04,6.786490e-02,2.877830e-03,0.000000e+00
6.000000e+00,-2.011285e-04,6.786490e-02,2.877830e-03,2.900000e-01
6.000000e+00,-1.826045e-04,6.929840e-02,2.318530e-03,0.000000e+00
6.000000e+00,-1.826045e-04,6.929840e-02,2.318530e-03,2.900000e-01
6.000000e+00,-1.653895e-04,7.072760e-02,1.748310e-03,0.000000e+00
6.000000e+00,-1.653895e-04,7.072760e-02,1.748310e-03,2.900000e-01
