Time,"p","Points:0","Points:1","Points:2"
9.500000e+01,-3.672030e-05,0.000000e+00,0.000000e+00,0.000000e+00
9.500000e+01,-6.031835e-05,1.520200e-03,2.381140e-04,0.000000e+00
9.500000e+01,-6.031835e-05,1.520200e-03,2.381140e-04,2.900000e-01
9.500000e+01,-3.672030e-05,0.000000e+00,0.000000e+00,2.900000e-01
9.500000e+01,-1.103512e-04,3.037420e-03,4.946080e-04,0.000000e+00
9.500000e+01,-1.103512e-04,3.037420e-03,4.946080e-04,2.900000e-01
9.500000e+01,-1.678240e-04,4.551780e-03,7.675130e-04,0.000000e+00
9.500000e+01,-1.678240e-04,4.551780e-03,7.675130e-04,2.900000e-01
9.500000e+01,-2.323845e-04,6.063450e-03,1.054900e-03,0.000000e+00
9.500000e+01,-2.323845e-04,6.063450e-03,1.054900e-03,2.900000e-01
9.500000e+01,-2.995855e-04,7.572670e-03,1.354870e-03,0.000000e+00
9.500000e+01,-2.995855e-04,7.572670e-03,1.354870e-03,2.900000e-01
9.500000e+01,-3.658205e-04,9.079730e-03,1.665580e-03,0.000000e+00
9.500000e+01,-3.658205e-04,9.079730e-03,1.665580e-03,2.900000e-01
9.500000e+01,-4.269985e-04,1.058490e-02,1.985190e-03,0.000000e+00
9.500000e+01,-4.269985e-04,1.058490e-02,1.985190e-03,2.900000e-01
9.500000e+01,-4.742205e-04,1.208860e-02,2.311900e-03,0.000000e+00
9.500000e+01,-4.742205e-04,1.208860e-02,2.311900e-03,2.900000e-01
9.500000e+01,-4.941790e-04,1.359110e-02,2.643950e-03,0.000000e+00
9.500000e+01,-4.941790e-04,1.359110e-02,2.643950e-03,2.900000e-01
9.500000e+01,-4.777845e-04,1.509280e-02,2.979560e-03,0.000000e+00
9.500000e+01,-4.777845e-04,1.509280e-02,2.979560e-03,2.900000e-01
9.500000e+01,-4.323485e-04,1.659410e-02,3.317000e-03,0.000000e+00
9.500000e+01,-4.323485e-04,1.659410e-02,3.317000e-03,2.900000e-01
9.500000e+01,-3.806110e-04,1.809540e-02,3.654530e-03,0.000000e+00
9.500000e+01,-3.806110e-04,1.809540e-02,3.654530e-03,2.900000e-01
9.500000e+01,-3.404650e-04,1.959700e-02,3.990400e-03,0.000000e+00
9.500000e+01,-3.404650e-04,1.959700e-02,3.990400e-03,2.900000e-01
9.500000e+01,-3.200410e-04,2.109940e-02,4.322870e-03,0.000000e+00
9.500000e+01,-3.200410e-04,2.109940e-02,4.322870e-03,2.900000e-01
9.500000e+01,-3.215635e-04,2.260300e-02,4.650170e-03,0.000000e+00
9.500000e+01,-3.215635e-04,2.260300e-02,4.650170e-03,2.900000e-01
9.500000e+01,-3.445370e-04,2.410800e-02,4.970550e-03,0.000000e+00
9.500000e+01,-3.445370e-04,2.410800e-02,4.970550e-03,2.900000e-01
9.500000e+01,-3.885825e-04,2.561490e-02,5.282190e-03,0.000000e+00
9.500000e+01,-3.885825e-04,2.561490e-02,5.282190e-03,2.900000e-01
9.500000e+01,-4.524265e-04,2.712390e-02,5.583290e-03,0.000000e+00
9.500000e+01,-4.524265e-04,2.712390e-02,5.583290e-03,2.900000e-01
9.500000e+01,-5.348045e-04,2.863530e-02,5.871970e-03,0.000000e+00
9.500000e+01,-5.348045e-04,2.863530e-02,5.871970e-03,2.900000e-01
9.500000e+01,-6.332295e-04,3.014940e-02,6.146360e-03,0.000000e+00
9.500000e+01,-6.332295e-04,3.014940e-02,6.146360e-03,2.900000e-01
9.500000e+01,-7.455060e-04,3.166630e-02,6.404520e-03,0.000000e+00
9.500000e+01,-7.455060e-04,3.166630e-02,6.404520e-03,2.900000e-01
9.500000e+01,-8.686880e-04,3.318630e-02,6.644510e-03,0.000000e+00
9.500000e+01,-8.686880e-04,3.318630e-02,6.644510e-03,2.900000e-01
9.500000e+01,-1.000514e-03,3.470920e-02,6.864290e-03,0.000000e+00
9.500000e+01,-1.000514e-03,3.470920e-02,6.864290e-03,2.900000e-01
9.500000e+01,-1.139045e-03,3.623520e-02,7.061850e-03,0.000000e+00
9.500000e+01,-1.139045e-03,3.623520e-02,7.061850e-03,2.900000e-01
9.500000e+01,-1.277145e-03,3.776410e-02,7.235110e-03,0.000000e+00
9.500000e+01,-1.277145e-03,3.776410e-02,7.235110e-03,2.900000e-01
9.500000e+01,-1.408505e-03,3.929580e-02,7.381980e-03,0.000000e+00
9.500000e+01,-1.408505e-03,3.929580e-02,7.381980e-03,2.900000e-01
9.500000e+01,-1.523045e-03,4.083000e-02,7.500350e-03,0.000000e+00
9.500000e+01,-1.523045e-03,4.083000e-02,7.500350e-03,2.900000e-01
9.500000e+01,-1.621290e-03,4.236620e-02,7.588100e-03,0.000000e+00
9.500000e+01,-1.621290e-03,4.236620e-02,7.588100e-03,2.900000e-01
9.500000e+01,-1.702940e-03,4.390400e-02,7.643140e-03,0.000000e+00
9.500000e+01,-1.702940e-03,4.390400e-02,7.643140e-03,2.900000e-01
9.500000e+01,-1.756820e-03,4.544260e-02,7.663390e-03,0.000000e+00
9.500000e+01,-1.756820e-03,4.544260e-02,7.663390e-03,2.900000e-01
9.500000e+01,-1.780400e-03,4.698120e-02,7.646870e-03,0.000000e+00
9.500000e+01,-1.780400e-03,4.698120e-02,7.646870e-03,2.900000e-01
9.500000e+01,-1.775870e-03,4.851890e-02,7.591630e-03,0.000000e+00
9.500000e+01,-1.775870e-03,4.851890e-02,7.591630e-03,2.900000e-01
9.500000e+01,-1.748905e-03,5.005460e-02,7.495860e-03,0.000000e+00
9.500000e+01,-1.748905e-03,5.005460e-02,7.495860e-03,2.900000e-01
9.500000e+01,-1.692565e-03,5.158610e-02,7.347800e-03,0.000000e+00
9.500000e+01,-1.692565e-03,5.158610e-02,7.347800e-03,2.900000e-01
9.500000e+01,-1.592530e-03,5.311090e-02,7.141450e-03,0.000000e+00
9.500000e+01,-1.592530e-03,5.311090e-02,7.141450e-03,2.900000e-01
9.500000e+01,-1.474145e-03,5.462750e-02,6.881690e-03,0.000000e+00
9.500000e+01,-1.474145e-03,5.462750e-02,6.881690e-03,2.900000e-01
9.500000e+01,-1.376350e-03,5.613500e-02,6.573330e-03,0.000000e+00
9.500000e+01,-1.376350e-03,5.613500e-02,6.573330e-03,2.900000e-01
9.500000e+01,-1.299860e-03,5.763280e-02,6.221080e-03,0.000000e+00
9.500000e+01,-1.299860e-03,5.763280e-02,6.221080e-03,2.900000e-01
9.500000e+01,-1.239550e-03,5.912080e-02,5.829460e-03,0.000000e+00
9.500000e+01,-1.239550e-03,5.912080e-02,5.829460e-03,2.900000e-01
9.500000e+01,-1.194035e-03,6.059920e-02,5.402760e-03,0.000000e+00
9.500000e+01,-1.194035e-03,6.059920e-02,5.402760e-03,2.900000e-01
9.500000e+01,-1.158890e-03,6.206830e-02,4.945060e-03,0.000000e+00
9.500000e+01,-1.158890e-03,6.206830e-02,4.945060e-03,2.900000e-01
9.500000e+01,-1.134160e-03,6.352870e-02,4.460210e-03,0.000000e+00
9.500000e+01,-1.134160e-03,6.352870e-02,4.460210e-03,2.900000e-01
9.500000e+01,-1.116580e-03,6.498100e-02,3.951820e-03,0.000000e+00
9.500000e+01,-1.116580e-03,6.498100e-02,3.951820e-03,2.900000e-01
9.500000e+01,-1.096255e-03,6.642610e-02,3.423280e-03,0.000000e+00
9.500000e+01,-1.096255e-03,6.642610e-02,3.423280e-03,2.900000e-01
9.500000e+01,-1.066655e-03,6.786490e-02,2.877830e-03,0.000000e+00
9.500000e+01,-1.066655e-03,6.786490e-02,2.877830e-03,2.900000e-01
9.500000e+01,-1.037780e-03,6.929840e-02,2.318530e-03,0.000000e+00
9.500000e+01,-1.037780e-03,6.929840e-02,2.318530e-03,2.900000e-01
9.500000e+01,-1.027745e-03,7.072760e-02,1.748310e-03,0.000000e+00
9.500000e+01,-1.027745e-03,7.072760e-02,1.748310e-03,2.900000e-01
9.500000e+01,-1.044990e-03,7.215360e-02,1.170000e-03,0.000000e+00
9.500000e+01,-1.044990e-03,7.215360e-02,1.170000e-03,2.900000e-01
9.500000e+01,-1.074085e-03,7.357730e-02,5.863310e-04,0.000000e+00
9.500000e+01,-1.074085e-03,7.357730e-02,5.863310e-04,2.900000e-01
9.500000e+01,-1.066575e-03,7.500000e-02,9.541760e-14,0.000000e+00
9.500000e+01,-1.066575e-03,7.500000e-02,9.541760e-14,2.900000e-01
9.500000e+01,-9.809415e-04,7.642270e-02,-5.863310e-04,0.000000e+00
9.500000e+01,-9.809415e-04,7.642270e-02,-5.863310e-04,2.900000e-01
9.500000e+01,-8.611275e-04,7.784640e-02,-1.170000e-03,0.000000e+00
9.500000e+01,-8.611275e-04,7.784640e-02,-1.170000e-03,2.900000e-01
9.500000e+01,-8.179915e-04,7.927240e-02,-1.748310e-03,0.000000e+00
9.500000e+01,-8.179915e-04,7.927240e-02,-1.748310e-03,2.900000e-01
9.500000e+01,-9.080665e-04,8.070160e-02,-2.318530e-03,0.000000e+00
9.500000e+01,-9.080665e-04,8.070160e-02,-2.318530e-03,2.900000e-01
9.500000e+01,-1.087431e-03,8.213510e-02,-2.877830e-03,0.000000e+00
9.500000e+01,-1.087431e-03,8.213510e-02,-2.877830e-03,2.900000e-01
9.500000e+01,-1.249055e-03,8.357390e-02,-3.423280e-03,0.000000e+00
9.500000e+01,-1.249055e-03,8.357390e-02,-3.423280e-03,2.900000e-01
9.500000e+01,-1.321450e-03,8.501900e-02,-3.951820e-03,0.000000e+00
9.500000e+01,-1.321450e-03,8.501900e-02,-3.951820e-03,2.900000e-01
9.500000e+01,-1.322830e-03,8.647130e-02,-4.460210e-03,0.000000e+00
9.500000e+01,-1.322830e-03,8.647130e-02,-4.460210e-03,2.900000e-01
9.500000e+01,-1.319125e-03,8.793170e-02,-4.945060e-03,0.000000e+00
9.500000e+01,-1.319125e-03,8.793170e-02,-4.945060e-03,2.900000e-01
9.500000e+01,-1.385440e-03,8.940080e-02,-5.402760e-03,0.000000e+00
9.500000e+01,-1.385440e-03,8.940080e-02,-5.402760e-03,2.900000e-01
9.500000e+01,-1.575420e-03,9.087920e-02,-5.829460e-03,0.000000e+00
9.500000e+01,-1.575420e-03,9.087920e-02,-5.829460e-03,2.900000e-01
9.500000e+01,-1.958835e-03,9.236720e-02,-6.221080e-03,0.000000e+00
9.500000e+01,-1.958835e-03,9.236720e-02,-6.221080e-03,2.900000e-01
9.500000e+01,-2.626300e-03,9.386500e-02,-6.573330e-03,0.000000e+00
9.500000e+01,-2.626300e-03,9.386500e-02,-6.573330e-03,2.900000e-01
9.500000e+01,-3.211365e-03,9.537250e-02,-6.881690e-03,0.000000e+00
9.500000e+01,-3.211365e-03,9.537250e-02,-6.881690e-03,2.900000e-01
9.500000e+01,-3.160965e-03,9.688910e-02,-7.141450e-03,0.000000e+00
9.500000e+01,-3.160965e-03,9.688910e-02,-7.141450e-03,2.900000e-01
9.500000e+01,-2.457135e-03,9.841390e-02,-7.347800e-03,0.000000e+00
9.500000e+01,-2.457135e-03,9.841390e-02,-7.347800e-03,2.900000e-01
9.500000e+01,-1.364870e-03,9.994540e-02,-7.495860e-03,0.000000e+00
9.500000e+01,-1.364870e-03,9.994540e-02,-7.495860e-03,2.900000e-01
9.500000e+01,-9.998400e-05,1.014810e-01,-7.591630e-03,0.000000e+00
9.500000e+01,-9.998400e-05,1.014810e-01,-7.591630e-03,2.900000e-01
9.500000e+01,1.114001e-03,1.030190e-01,-7.646870e-03,0.000000e+00
9.500000e+01,1.114001e-03,1.030190e-01,-7.646870e-03,2.900000e-01
9.500000e+01,2.112640e-03,1.045570e-01,-7.663390e-03,0.000000e+00
9.500000e+01,2.112640e-03,1.045570e-01,-7.663390e-03,2.900000e-01
9.500000e+01,2.875030e-03,1.060960e-01,-7.643140e-03,0.000000e+00
9.500000e+01,2.875030e-03,1.060960e-01,-7.643140e-03,2.900000e-01
9.500000e+01,3.426305e-03,1.076340e-01,-7.588100e-03,0.000000e+00
9.500000e+01,3.426305e-03,1.076340e-01,-7.588100e-03,2.900000e-01
9.500000e+01,3.818210e-03,1.091700e-01,-7.500350e-03,0.000000e+00
9.500000e+01,3.818210e-03,1.091700e-01,-7.500350e-03,2.900000e-01
