Time,"p","Points:0","Points:1","Points:2"
1.000000e+00,4.960450e-05,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,5.107765e-05,1.520200e-03,2.381140e-04,0.000000e+00
1.000000e+00,5.107765e-05,1.520200e-03,2.381140e-04,2.900000e-01
1.000000e+00,4.960450e-05,0.000000e+00,0.000000e+00,2.900000e-01
1.000000e+00,5.378580e-05,3.037420e-03,4.946080e-04,0.000000e+00
1.000000e+00,5.378580e-05,3.037420e-03,4.946080e-04,2.900000e-01
1.000000e+00,5.569100e-05,4.551780e-03,7.675130e-04,0.000000e+00
1.000000e+00,5.569100e-05,4.551780e-03,7.675130e-04,2.900000e-01
1.000000e+00,5.653995e-05,6.063450e-03,1.054900e-03,0.000000e+00
1.000000e+00,5.653995e-05,6.063450e-03,1.054900e-03,2.900000e-01
1.000000e+00,5.627085e-05,7.572670e-03,1.354870e-03,0.000000e+00
1.000000e+00,5.627085e-05,7.572670e-03,1.354870e-03,2.900000e-01
1.000000e+00,5.495465e-05,9.079730e-03,1.665580e-03,0.000000e+00
1.000000e+00,5.495465e-05,9.079730e-03,1.665580e-03,2.900000e-01
1.000000e+00,5.312075e-05,1.058490e-02,1.985190e-03,0.000000e+00
1.000000e+00,5.312075e-05,1.058490e-02,1.985190e-03,2.900000e-01
1.000000e+00,5.121375e-05,1.208860e-02,2.311900e-03,0.000000e+00
1.000000e+00,5.121375e-05,1.208860e-02,2.311900e-03,2.900000e-01
1.000000e+00,4.930935e-05,1.359110e-02,2.643950e-03,0.000000e+00
1.000000e+00,4.930935e-05,1.359110e-02,2.643950e-03,2.900000e-01
1.000000e+00,4.713560e-05,1.509280e-02,2.979560e-03,0.000000e+00
1.000000e+00,4.713560e-05,1.509280e-02,2.979560e-03,2.900000e-01
1.000000e+00,4.425915e-05,1.659410e-02,3.317000e-03,0.000000e+00
1.000000e+00,4.425915e-05,1.659410e-02,3.317000e-03,2.900000e-01
1.000000e+00,4.051475e-05,1.809540e-02,3.654530e-03,0.000000e+00
1.000000e+00,4.051475e-05,1.809540e-02,3.654530e-03,2.900000e-01
1.000000e+00,3.633215e-05,1.959700e-02,3.990400e-03,0.000000e+00
1.000000e+00,3.633215e-05,1.959700e-02,3.990400e-03,2.900000e-01
1.000000e+00,3.194970e-05,2.109940e-02,4.322870e-03,0.000000e+00
1.000000e+00,3.194970e-05,2.109940e-02,4.322870e-03,2.900000e-01
1.000000e+00,2.712295e-05,2.260300e-02,4.650170e-03,0.000000e+00
1.000000e+00,2.712295e-05,2.260300e-02,4.650170e-03,2.900000e-01
1.000000e+00,2.166010e-05,2.410800e-02,4.970550e-03,0.000000e+00
1.000000e+00,2.166010e-05,2.410800e-02,4.970550e-03,2.900000e-01
1.000000e+00,1.547415e-05,2.561490e-02,5.282190e-03,0.000000e+00
1.000000e+00,1.547415e-05,2.561490e-02,5.282190e-03,2.900000e-01
1.000000e+00,8.681900e-06,2.712390e-02,5.583290e-03,0.000000e+00
1.000000e+00,8.681900e-06,2.712390e-02,5.583290e-03,2.900000e-01
1.000000e+00,1.561020e-06,2.863530e-02,5.871970e-03,0.000000e+00
1.000000e+00,1.561020e-06,2.863530e-02,5.871970e-03,2.900000e-01
1.000000e+00,-6.058180e-06,3.014940e-02,6.146360e-03,0.000000e+00
1.000000e+00,-6.058180e-06,3.014940e-02,6.146360e-03,2.900000e-01
1.000000e+00,-1.454655e-05,3.166630e-02,6.404520e-03,0.000000e+00
1.000000e+00,-1.454655e-05,3.166630e-02,6.404520e-03,2.900000e-01
1.000000e+00,-2.393560e-05,3.318630e-02,6.644510e-03,0.000000e+00
1.000000e+00,-2.393560e-05,3.318630e-02,6.644510e-03,2.900000e-01
1.000000e+00,-3.422490e-05,3.470920e-02,6.864290e-03,0.000000e+00
1.000000e+00,-3.422490e-05,3.470920e-02,6.864290e-03,2.900000e-01
1.000000e+00,-4.533340e-05,3.623520e-02,7.061850e-03,0.000000e+00
1.000000e+00,-4.533340e-05,3.623520e-02,7.061850e-03,2.900000e-01
1.000000e+00,-5.711485e-05,3.776410e-02,7.235110e-03,0.000000e+00
1.000000e+00,-5.711485e-05,3.776410e-02,7.235110e-03,2.900000e-01
1.000000e+00,-6.943820e-05,3.929580e-02,7.381980e-03,0.000000e+00
1.000000e+00,-6.943820e-05,3.929580e-02,7.381980e-03,2.900000e-01
1.000000e+00,-8.197280e-05,4.083000e-02,7.500350e-03,0.000000e+00
