Time,"p","Points:0","Points:1","Points:2"
1.610000e+02,6.260160e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.610000e+02,6.207660e-03,1.520200e-03,2.381140e-04,0.000000e+00
1.610000e+02,6.207660e-03,1.520200e-03,2.381140e-04,2.900000e-01
1.610000e+02,6.260160e-03,0.000000e+00,0.000000e+00,2.900000e-01
1.610000e+02,6.085040e-03,3.037420e-03,4.946080e-04,0.000000e+00
1.610000e+02,6.085040e-03,3.037420e-03,4.946080e-04,2.900000e-01
1.610000e+02,5.939810e-03,4.551780e-03,7.675130e-04,0.000000e+00
1.610000e+02,5.939810e-03,4.551780e-03,7.675130e-04,2.900000e-01
1.610000e+02,5.778715e-03,6.063450e-03,1.054900e-03,0.000000e+00
1.610000e+02,5.778715e-03,6.063450e-03,1.054900e-03,2.900000e-01
1.610000e+02,5.594480e-03,7.572670e-03,1.354870e-03,0.000000e+00
1.610000e+02,5.594480e-03,7.572670e-03,1.354870e-03,2.900000e-01
1.610000e+02,5.383395e-03,9.079730e-03,1.665580e-03,0.000000e+00
1.610000e+02,5.383395e-03,9.079730e-03,1.665580e-03,2.900000e-01
1.610000e+02,5.144225e-03,1.058490e-02,1.985190e-03,0.000000e+00
1.610000e+02,5.144225e-03,1.058490e-02,1.985190e-03,2.900000e-01
1.610000e+02,4.877535e-03,1.208860e-02,2.311900e-03,0.000000e+00
1.610000e+02,4.877535e-03,1.208860e-02,2.311900e-03,2.900000e-01
1.610000e+02,4.583760e-03,1.359110e-02,2.643950e-03,0.000000e+00
1.610000e+02,4.583760e-03,1.359110e-02,2.643950e-03,2.900000e-01
1.610000e+02,4.264975e-03,1.509280e-02,2.979560e-03,0.000000e+00
1.610000e+02,4.264975e-03,1.509280e-02,2.979560e-03,2.900000e-01
1.610000e+02,3.922510e-03,1.659410e-02,3.317000e-03,0.000000e+00
1.610000e+02,3.922510e-03,1.659410e-02,3.317000e-03,2.900000e-01
1.610000e+02,3.559535e-03,1.809540e-02,3.654530e-03,0.000000e+00
1.610000e+02,3.559535e-03,1.809540e-02,3.654530e-03,2.900000e-01
1.610000e+02,3.178595e-03,1.959700e-02,3.990400e-03,0.000000e+00
1.610000e+02,3.178595e-03,1.959700e-02,3.990400e-03,2.900000e-01
1.610000e+02,2.782765e-03,2.109940e-02,4.322870e-03,0.000000e+00
1.610000e+02,2.782765e-03,2.109940e-02,4.322870e-03,2.900000e-01
1.610000e+02,2.377740e-03,2.260300e-02,4.650170e-03,0.000000e+00
1.610000e+02,2.377740e-03,2.260300e-02,4.650170e-03,2.900000e-01
1.610000e+02,1.966610e-03,2.410800e-02,4.970550e-03,0.000000e+00
1.610000e+02,1.966610e-03,2.410800e-02,4.970550e-03,2.900000e-01
1.610000e+02,1.542930e-03,2.561490e-02,5.282190e-03,0.000000e+00
1.610000e+02,1.542930e-03,2.561490e-02,5.282190e-03,2.900000e-01
1.610000e+02,1.105938e-03,2.712390e-02,5.583290e-03,0.000000e+00
1.610000e+02,1.105938e-03,2.712390e-02,5.583290e-03,2.900000e-01
1.610000e+02,6.709750e-04,2.863530e-02,5.871970e-03,0.000000e+00
1.610000e+02,6.709750e-04,2.863530e-02,5.871970e-03,2.900000e-01
1.610000e+02,2.618482e-04,3.014940e-02,6.146360e-03,0.000000e+00
1.610000e+02,2.618482e-04,3.014940e-02,6.146360e-03,2.900000e-01
