Time,"p","Points:0","Points:1","Points:2"
3.320000e+02,3.743440e-03,0.000000e+00,0.000000e+00,0.000000e+00
3.320000e+02,3.756150e-03,1.520200e-03,2.381140e-04,0.000000e+00
3.320000e+02,3.756150e-03,1.520200e-03,2.381140e-04,2.900000e-01
3.320000e+02,3.743440e-03,0.000000e+00,0.000000e+00,2.900000e-01
3.320000e+02,3.772995e-03,3.037420e-03,4.946080e-04,0.000000e+00
3.320000e+02,3.772995e-03,3.037420e-03,4.946080e-04,2.900000e-01
3.320000e+02,3.772105e-03,4.551780e-03,7.675130e-04,0.000000e+00
3.320000e+02,3.772105e-03,4.551780e-03,7.675130e-04,2.900000e-01
3.320000e+02,3.750440e-03,6.063450e-03,1.054900e-03,0.000000e+00
3.320000e+02,3.750440e-03,6.063450e-03,1.054900e-03,2.900000e-01
3.320000e+02,3.703385e-03,7.572670e-03,1.354870e-03,0.000000e+00
3.320000e+02,3.703385e-03,7.572670e-03,1.354870e-03,2.900000e-01
3.320000e+02,3.626620e-03,9.079730e-03,1.665580e-03,0.000000e+00
3.320000e+02,3.626620e-03,9.079730e-03,1.665580e-03,2.900000e-01
3.320000e+02,3.518210e-03,1.058490e-02,1.985190e-03,0.000000e+00
3.320000e+02,3.518210e-03,1.058490e-02,1.985190e-03,2.900000e-01
3.320000e+02,3.376705e-03,1.208860e-02,2.311900e-03,0.000000e+00
3.320000e+02,3.376705e-03,1.208860e-02,2.311900e-03,2.900000e-01
3.320000e+02,3.200855e-03,1.359110e-02,2.643950e-03,0.000000e+00
3.320000e+02,3.200855e-03,1.359110e-02,2.643950e-03,2.900000e-01
3.320000e+02,2.989365e-03,1.509280e-02,2.979560e-03,0.000000e+00
3.320000e+02,2.989365e-03,1.509280e-02,2.979560e-03,2.900000e-01
3.320000e+02,2.741270e-03,1.659410e-02,3.317000e-03,0.000000e+00
3.320000e+02,2.741270e-03,1.659410e-02,3.317000e-03,2.900000e-01
3.320000e+02,2.455935e-03,1.809540e-02,3.654530e-03,0.000000e+00
3.320000e+02,2.455935e-03,1.809540e-02,3.654530e-03,2.900000e-01
3.320000e+02,2.133215e-03,1.959700e-02,3.990400e-03,0.000000e+00
3.320000e+02,2.133215e-03,1.959700e-02,3.990400e-03,2.900000e-01
3.320000e+02,1.773950e-03,2.109940e-02,4.322870e-03,0.000000e+00
3.320000e+02,1.773950e-03,2.109940e-02,4.322870e-03,2.900000e-01
3.320000e+02,1.379330e-03,2.260300e-02,4.650170e-03,0.000000e+00
3.320000e+02,1.379330e-03,2.260300e-02,4.650170e-03,2.900000e-01
3.320000e+02,9.518385e-04,2.410800e-02,4.970550e-03,0.000000e+00
3.320000e+02,9.518385e-04,2.410800e-02,4.970550e-03,2.900000e-01
3.320000e+02,4.972915e-04,2.561490e-02,5.282190e-03,0.000000e+00
3.320000e+02,4.972915e-04,2.561490e-02,5.282190e-03,2.900000e-01
3.320000e+02,1.856500e-05,2.712390e-02,5.583290e-03,0.000000e+00
3.320000e+02,1.856500e-05,2.712390e-02,5.583290e-03,2.900000e-01
3.320000e+02,-4.878685e-04,2.863530e-02,5.871970e-03,0.000000e+00
3.320000e+02,-4.878685e-04,2.863530e-02,5.871970e-03,2.900000e-01
3.320000e+02,-1.025585e-03,3.014940e-02,6.146360e-03,0.000000e+00
3.320000e+02,-1.025585e-03,3.014940e-02,6.146360e-03,2.900000e-01
3.320000e+02,-1.580835e-03,3.166630e-02,6.404520e-03,0.000000e+00
3.320000e+02,-1.580835e-03,3.166630e-02,6.404520e-03,2.900000e-01
3.320000e+02,-2.136810e-03,3.318630e-02,6.644510e-03,0.000000e+00
3.320000e+02,-2.136810e-03,3.318630e-02,6.644510e-03,2.900000e-01
3.320000e+02,-2.673065e-03,3.470920e-02,6.864290e-03,0.000000e+00
3.320000e+02,-2.673065e-03,3.470920e-02,6.864290e-03,2.900000e-01
3.320000e+02,-3.176595e-03,3.623520e-02,7.061850e-03,0.000000e+00
3.320000e+02,-3.176595e-03,3.623520e-02,7.061850e-03,2.900000e-01
3.320000e+02,-3.623295e-03,3.776410e-02,7.235110e-03,0.000000e+00
3.320000e+02,-3.623295e-03,3.776410e-02,7.235110e-03,2.900000e-01
3.320000e+02,-4.005225e-03,3.929580e-02,7.381980e-03,0.000000e+00
3.320000e+02,-4.005225e-03,3.929580e-02,7.381980e-03,2.900000e-01
3.320000e+02,-4.325415e-03,4.083000e-02,7.500350e-03,0.000000e+00
3.320000e+02,-4.325415e-03,4.083000e-02,7.500350e-03,2.900000e-01
3.320000e+02,-4.550790e-03,4.236620e-02,7.588100e-03,0.000000e+00
3.320000e+02,-4.550790e-03,4.236620e-02,7.588100e-03,2.900000e-01
3.320000e+02,-4.699860e-03,4.390400e-02,7.643140e-03,0.000000e+00
3.320000e+02,-4.699860e-03,4.390400e-02,7.643140e-03,2.900000e-01
3.320000e+02,-4.763475e-03,4.544260e-02,7.663390e-03,0.000000e+00
3.320000e+02,-4.763475e-03,4.544260e-02,7.663390e-03,2.900000e-01
3.320000e+02,-4.780080e-03,4.698120e-02,7.646870e-03,0.000000e+00
3.320000e+02,-4.780080e-03,4.698120e-02,7.646870e-03,2.900000e-01
3.320000e+02,-4.830170e-03,4.851890e-02,7.591630e-03,0.000000e+00
3.320000e+02,-4.830170e-03,4.851890e-02,7.591630e-03,2.900000e-01
3.320000e+02,-4.826475e-03,5.005460e-02,7.495860e-03,0.000000e+00
3.320000e+02,-4.826475e-03,5.005460e-02,7.495860e-03,2.900000e-01
3.320000e+02,-4.637185e-03,5.158610e-02,7.347800e-03,0.000000e+00
3.320000e+02,-4.637185e-03,5.158610e-02,7.347800e-03,2.900000e-01
3.320000e+02,-4.323660e-03,5.311090e-02,7.141450e-03,0.000000e+00
3.320000e+02,-4.323660e-03,5.311090e-02,7.141450e-03,2.900000e-01
3.320000e+02,-4.066810e-03,5.462750e-02,6.881690e-03,0.000000e+00
